time	wmstart	wmdisp15
16.8600	4.9899	-4.3435
16.8800	4.9897	-4.3448
16.9000	4.9897	-4.3438
16.9200	4.9897	-4.3437
16.9400	4.9899	-4.3437
16.9600	4.9900	-4.3445
16.9800	4.9897	-4.3445
17.0000	4.9897	-4.3441
17.0200	4.9897	-4.3435
17.0400	4.9900	-4.3433
17.0600	4.9895	-4.3435
17.0800	4.9897	-4.3440
17.1000	4.9899	-4.3435
17.1200	4.9897	-4.3433
17.1400	4.9900	-4.3438
17.1600	4.9900	-4.3440
17.1800	4.9899	-4.3445
17.2000	4.9899	-4.3441
17.2200	4.9895	-4.3438
17.2400	4.9899	-4.3441
17.2600	4.9900	-4.3441
17.2800	4.9899	-4.3443
17.3000	4.9895	-4.3438
17.3200	4.9900	-4.3437
17.3400	4.9897	-4.3441
17.3600	4.9897	-4.3441
